Date,Price,Open,High,Low,Vol,Change%
"May 12, 2023","2,039.10","2,039.90","2,046.80","2,025.00",21.57K,-0.04%
"May 11, 2023","2,039.90","2,056.20","2,066.80","2,036.10",68.29K,-0.81%
"May 10, 2023","2,056.50","2,061.50","2,075.30","2,047.90",55.46K,-0.29%
"May 09, 2023","2,062.40","2,048.40","2,064.40","2,046.10",63.10K,+0.47%
"May 08, 2023","2,052.80","2,044.20","2,056.50","2,041.50",60.81K,+0.42%
"May 05, 2023","2,044.20","2,075.40","2,080.30","2,026.20",45.84K,-1.48%
"May 04, 2023","2,075.00","2,071.00","2,102.20","2,058.00",22.83K,+0.91%
"May 03, 2023","2,056.20","2,045.00","2,069.00","2,035.40",15.25K,+0.67%
"May 02, 2023","2,042.50","2,009.30","2,047.80","2,006.00",13.37K,+1.55%
"May 01, 2023","2,011.40","2,019.10","2,034.10","2,004.80",8.10K,-0.34%
"Apr 28, 2023","2,018.30","2,016.40","2,022.90","2,003.60",15.05K,+0.02%
"Apr 27, 2023","2,017.90","2,018.10","2,031.90","2,001.00",10.37K,+0.15%
"Apr 26, 2023","2,014.90","2,026.00","2,039.10","2,012.90",12.36K,-0.43%
"Apr 25, 2023","2,023.50","2,018.10","2,033.30","2,005.10",8.93K,+0.24%
"Apr 24, 2023","2,018.60","2,011.00","2,020.10","2,003.80",5.73K,+0.47%
"Apr 21, 2023","2,009.20","2,034.40","2,035.40","2,001.40",4.17K,-1.41%
"Apr 20, 2023","2,037.90","2,025.80","2,042.50","2,021.40",3.18K,+0.59%
"Apr 19, 2023","2,025.90","2,036.20","2,038.60","1,999.50",7.31K,-0.62%
"Apr 18, 2023","2,038.50","2,025.80","2,043.20","2,023.00",3.23K,+0.63%
"Apr 17, 2023","2,025.70","2,033.00","2,046.60","2,012.50",2.84K,-0.43%
"Apr 14, 2023","2,034.40","2,073.10","2,080.00","2,024.80",6.73K,-1.90%
"Apr 13, 2023","2,073.80","2,048.20","2,080.80","2,046.90",5.42K,+1.49%
"Apr 12, 2023","2,043.30","2,037.10","2,061.50","2,034.40",6.30K,+0.29%
"Apr 11, 2023","2,037.30","2,025.00","2,040.40","2,022.20",5.57K,+0.77%
"Apr 10, 2023","2,021.80","2,032.20","2,039.40","2,015.00",3.60K,-1.11%
"Apr 06, 2023","2,044.40","2,055.00","2,055.40","2,034.60",3.48K,-0.45%
"Apr 05, 2023","2,053.60","2,056.30","2,067.10","2,044.50",4.43K,-0.13%
"Apr 04, 2023","2,056.20","2,019.80","2,061.00","2,012.70",4.34K,+1.87%
"Apr 03, 2023","2,018.50","2,007.50","2,026.10","1,984.50",4.32K,+0.72%
"Mar 31, 2023","2,004.10","2,015.80","2,022.80","2,002.30",4.15K,-0.57%
